prov,low_range,high_range,tax_rate
NL, 0, 44192, 0.087
NL, 44192.01, 88382, 0.145
NL, 88382.01, 157792, 0.158
NL, 157792.01, 220910, 0.178
NL, 220910.01, 282214, 0.198
NL, 282214.01, 564429, 0.208
NL, 564429.01, 1128858, 0.213
NL, 1128858.01, 100000000000000000000, 0.218
PEI, 0, 33328, 0.095
PEI, 33328.01, 64656, 0.1347
PEI, 64656.01, 105000, 0.166
PEI, 105000.01, 140000, 0.1762
PEI, 140000.01, 100000000000000000000, 0.19
NS, 0, 30507, 0.0879
NS, 30507.01, 61015, 0.1495
NS, 61015.01, 95883, 0.1667
NS, 95883.01, 154650, 0.175
NS, 154650.01, 100000000000000000000, 0.21
NB, 0, 51306, 0.094
NB, 51306.01, 102614, 0.14
NB, 102614.01, 190060, 0.16
NB, 190060.01, 100000000000000000000, 0.195
QC, 0, 53255, 0.14
QC, 53255.01, 106495, 0.19
QC, 106495.01, 129590, 0.24
QC, 129590.01, 100000000000000000000, 0.2575
ON, 0, 52886, 0.0505
ON, 52886.01, 105775, 0.0915
ON, 105775.01, 150000, 0.1116
ON, 150000.01, 220000, 0.1216
ON, 220000.01, 100000000000000000000, 0.1316
MB, 0, 47564, 0.108
MB, 47564.01, 101200, 0.1275
MB, 101200.01, 100000000000000000000, 0.174
SK, 0, 53463, 0.105
SK, 53463.01, 152750, 0.125
SK, 152750.01, 100000000000000000000, 0.145
AB, 0, 151234, 0.10
AB, 151234.01, 181481, 0.12
AB, 181481.01, 241974, 0.13
AB, 241974.01, 362961, 0.14
AB, 362961.01, 100000000000000000000, 0.15
BC, 0, 49279, 0.0506
BC, 49279.01, 98560, 0.077
BC, 98560.01, 113158, 0.105
BC, 113158.01, 137407, 0.1229
BC, 137407.01, 186306, 0.147
BC, 186306.01, 259829, 0.168
BC, 259829.01, 100000000000000000000, 0.205
YT, 0, 57375, 0.064
YT, 57375.01, 114750, 0.09
YT, 114750.01, 177882, 0.109
YT, 177882.01, 500000, 0.128
YT, 500000.01, 100000000000000000000, 0.15
NT, 0, 51964, 0.059
NT, 51964.01, 103930, 0.086
NT, 103930.01, 168967, 0.122
NT, 168967.01, 100000000000000000000, 0.1405
NU, 0, 54707, 0.04
NU, 54707.01, 109413, 0.07
NU, 109413.01, 177881, 0.09
NU, 177881.01, 100000000000000000000, 0.115
